图层类型,文件路径,文件名,年份,格式,投影_CRS,空间范围_WGS84,分辨率,波段数,数据类型,nodata,行列或尺寸,表格结构,建议用途,是否需要预处理,预处理建议,备注
研究区边界,data/raw/boundary/yellow_river_floodplain_boundary.geojson,yellow_river_floodplain_boundary.geojson,,GeoJSON,CRS84/WGS84,"112.17728717599911,34.237111969399216,116.67838161226449,36.4542015263657",,,vector,,2 features,,地图高亮、裁剪、分区统计、PostGIS 入库,视情况,检查几何有效性和坐标系；必要时简化边界并建立空间索引,由裁剪栅格有效区域反推生成
土地利用_CLCD_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/1.土地利用_CLCD_30m/CLCD_2000_黄河滩区中下游边界.tif,CLCD_2000_黄河滩区中下游边界.tif,2000,GeoTIFF,"PROJCS[""unknown"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177287,34.237112,116.678382,36.454202",30;30,1,uint8,0.0,12770x7175,,土地利用变化、生态用地比例、景观格局、转移矩阵、抵抗力指标,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
土地利用_CLCD_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/1.土地利用_CLCD_30m/CLCD_2005_黄河滩区中下游边界.tif,CLCD_2005_黄河滩区中下游边界.tif,2005,GeoTIFF,"PROJCS[""unknown"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177287,34.237112,116.678382,36.454202",30;30,1,uint8,0.0,12770x7175,,土地利用变化、生态用地比例、景观格局、转移矩阵、抵抗力指标,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
土地利用_CLCD_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/1.土地利用_CLCD_30m/CLCD_2010_黄河滩区中下游边界.tif,CLCD_2010_黄河滩区中下游边界.tif,2010,GeoTIFF,"PROJCS[""unknown"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177287,34.237112,116.678382,36.454202",30;30,1,uint8,0.0,12770x7175,,土地利用变化、生态用地比例、景观格局、转移矩阵、抵抗力指标,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
土地利用_CLCD_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/1.土地利用_CLCD_30m/CLCD_2015_黄河滩区中下游边界.tif,CLCD_2015_黄河滩区中下游边界.tif,2015,GeoTIFF,"PROJCS[""unknown"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177287,34.237112,116.678382,36.454202",30;30,1,uint8,0.0,12770x7175,,土地利用变化、生态用地比例、景观格局、转移矩阵、抵抗力指标,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
土地利用_CLCD_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/1.土地利用_CLCD_30m/CLCD_2020_黄河滩区中下游边界.tif,CLCD_2020_黄河滩区中下游边界.tif,2020,GeoTIFF,"PROJCS[""unknown"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177287,34.237112,116.678382,36.454202",30;30,1,uint8,0.0,12770x7175,,土地利用变化、生态用地比例、景观格局、转移矩阵、抵抗力指标,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
土地利用_CLCD_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/1.土地利用_CLCD_30m/CLCD_2025_黄河滩区中下游边界.tif,CLCD_2025_黄河滩区中下游边界.tif,2025,GeoTIFF,"PROJCS[""unknown"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177287,34.237112,116.678382,36.454202",30;30,1,uint8,0.0,12770x7175,,土地利用变化、生态用地比例、景观格局、转移矩阵、抵抗力指标,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
夜间灯光_LongNTL_500m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/2.夜间灯光_LongNTL_500m/LongNTL_2000_黄河滩区中下游边界.tif,LongNTL_2000_黄河滩区中下游边界.tif,2000,GeoTIFF,EPSG:4326,"112.208562,34.436916,116.659714,36.170665",0.004491576421;0.004491576421,1,float32,-3.4028234663852886e+38,991x386,,人类活动强度、城镇化水平、开发压力、适应力指标,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
夜间灯光_LongNTL_500m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/2.夜间灯光_LongNTL_500m/LongNTL_2005_黄河滩区中下游边界.tif,LongNTL_2005_黄河滩区中下游边界.tif,2005,GeoTIFF,EPSG:4326,"112.208562,34.436916,116.659714,36.170665",0.004491576421;0.004491576421,1,float32,-3.4028234663852886e+38,991x386,,人类活动强度、城镇化水平、开发压力、适应力指标,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
夜间灯光_LongNTL_500m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/2.夜间灯光_LongNTL_500m/LongNTL_2010_黄河滩区中下游边界.tif,LongNTL_2010_黄河滩区中下游边界.tif,2010,GeoTIFF,EPSG:4326,"112.208562,34.436916,116.659714,36.170665",0.004491576421;0.004491576421,1,float32,-3.4028234663852886e+38,991x386,,人类活动强度、城镇化水平、开发压力、适应力指标,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
