文件名,文件路径,CRS,尺寸,分辨率,波段数,数据类型,nodata,有效像元数_band1,总像元数_band1,有效像元比例_band1,最小值_band1,P1_band1,中位数_band1,P99_band1,最大值_band1,状态,异常说明
clcd_2000_epsg4326_250m.tif,data/processed/aligned/clcd_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,426766,1980940,0.215436,1.0,1.0,1.0,8.0,8.0,通过,
clcd_2005_epsg4326_250m.tif,data/processed/aligned/clcd_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,426766,1980940,0.215436,1.0,1.0,1.0,8.0,8.0,通过,
clcd_2010_epsg4326_250m.tif,data/processed/aligned/clcd_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,426766,1980940,0.215436,1.0,1.0,1.0,8.0,8.0,通过,
clcd_2015_epsg4326_250m.tif,data/processed/aligned/clcd_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,426766,1980940,0.215436,1.0,1.0,1.0,8.0,8.0,通过,
clcd_2020_epsg4326_250m.tif,data/processed/aligned/clcd_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,426766,1980940,0.215436,1.0,1.0,1.0,8.0,8.0,通过,
clcd_2025_epsg4326_250m.tif,data/processed/aligned/clcd_2025_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,uint8,0.0,426766,1980940,0.215436,1.0,1.0,1.0,8.0,8.0,通过,
dem_static_epsg4326_250m.tif,data/processed/aligned/dem_static_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426782,1980940,0.215444,35.19306564331055,38.0,68.44749069213867,487.57378723144535,1409.22900390625,通过,
evi_2000_epsg4326_250m.tif,data/processed/aligned/evi_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.06606333702802658,0.05225315351039171,0.2768103778362274,0.35627775847911836,0.4273530840873718,通过,
evi_2005_epsg4326_250m.tif,data/processed/aligned/evi_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.08464911580085754,0.05581805545836687,0.29489803314208984,0.39219350308179857,0.5077754259109497,通过,
evi_2010_epsg4326_250m.tif,data/processed/aligned/evi_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.05109427496790886,0.04461149916052818,0.3050440549850464,0.40736378788948024,0.5071943402290344,通过,
evi_2015_epsg4326_250m.tif,data/processed/aligned/evi_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.05451422184705734,0.05717922121286393,0.33194033801555634,0.4607753798365592,0.5289390683174133,通过,
evi_2020_epsg4326_250m.tif,data/processed/aligned/evi_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.0685921162366867,0.04606120690703392,0.3424265831708908,0.5047837257385254,0.5828635692596436,通过,
evi_2025_epsg4326_250m.tif,data/processed/aligned/evi_2025_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.09435701370239258,0.045788022875785823,0.3562612682580948,0.49797907710075384,0.5810383558273315,通过,
gdp_2000_epsg4326_250m.tif,data/processed/aligned/gdp_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426469,1980940,0.215286,83.797119140625,127.83736083984375,309.9408264160156,3153.505634765626,6066.40869140625,通过,
gdp_2005_epsg4326_250m.tif,data/processed/aligned/gdp_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426519,1980940,0.215311,348.2863464355469,483.72741149902345,1283.5682373046875,12636.384726562503,20933.03515625,通过,
gdp_2010_epsg4326_250m.tif,data/processed/aligned/gdp_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426469,1980940,0.215286,302.2250061035156,475.43590576171874,1276.5941162109375,12482.257109375001,18654.455078125,通过,
gdp_2015_epsg4326_250m.tif,data/processed/aligned/gdp_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426568,1980940,0.215336,541.018798828125,785.9700769042969,2446.467529296875,33611.19718750025,193552.9375,通过,
gdp_2020_epsg4326_250m.tif,data/processed/aligned/gdp_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426698,1980940,0.215402,1103.0,1272.2519311523438,3179.3515625,59285.038710937355,176966.546875,通过,
gdp_2023_epsg4326_250m.tif,data/processed/aligned/gdp_2023_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426609,1980940,0.215357,1267.5086669921875,1442.0855322265625,3542.528076171875,70385.61031249998,195398.0,通过,
ndvi_2000_epsg4326_250m.tif,data/processed/aligned/ndvi_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1910012811422348,0.09797232672572136,0.42055098712444305,0.5210163259506226,0.6794975399971008,通过,
ndvi_2005_epsg4326_250m.tif,data/processed/aligned/ndvi_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1917831301689148,0.10640878699719906,0.4479175955057144,0.5628411662578584,0.6742923259735107,通过,
ndvi_2010_epsg4326_250m.tif,data/processed/aligned/ndvi_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1378522366285324,0.08518803894519805,0.45612359046936035,0.5700456118583679,0.652840256690979,通过,
ndvi_2015_epsg4326_250m.tif,data/processed/aligned/ndvi_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1437961459159851,0.11444102153182031,0.490898460149765,0.6235178023576736,0.7304201722145081,通过,
ndvi_2020_epsg4326_250m.tif,data/processed/aligned/ndvi_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1952892392873764,0.08110644951462746,0.506871908903122,0.6729368424415587,0.7583276629447937,通过,
ndvi_2025_epsg4326_250m.tif,data/processed/aligned/ndvi_2025_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.19628050923347473,0.07300852231681347,0.5060144066810608,0.6372150295972825,0.7339551448822021,通过,
ntl_2000_epsg4326_250m.tif,data/processed/aligned/ntl_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426728,1980940,0.215417,0.0,0.0,0.0,4.060990347862241,68.92967987060547,通过,
